BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
2176667,0010057358904,jcbk,ncfic,J ROWLING,12/21/2007 04:00:00 PM
2410427,0010057942764,jcbk,ncfic,J ROWLING,12/12/2007 05:48:00 PM
2277368,0010051161817,jcbk,ncfic,J ROWLING2005,04/06/2007 12:52:00 PM
2410427,0010056947780,jcbk,ccfic,J ROWLING,12/19/2007 07:35:00 PM
2410427,0010056947822,jcbk,ccfic,J ROWLING,09/21/2007 05:15:00 PM
2176667,0010045792180,jcbk,ncfic,J ROWLING,11/13/2007 03:43:00 PM
1965109,0010051380318,jcbk,ncfic,J ROWLING,10/01/2007 05:19:00 PM
2176667,0010046008479,jcbk,ncfic,J ROWLING,05/18/2007 05:13:00 PM
2176667,0010045791844,jcbk,ncfic,J ROWLING,02/08/2007 10:23:00 AM
1842723,0010057359530,jcbk,ncfic,J ROWLING,11/23/2007 12:03:00 PM
2410427,0010056947608,jcbk,ncfic,J ROWLING,11/12/2007 05:32:00 PM
2277368,0010051162799,jcbk,ncfic,J ROWLING2005,03/01/2007 10:06:00 AM
2176667,0010045794400,jcbk,ncfic,J ROWLING,07/24/2007 02:47:00 PM
2176667,0010046008347,jcbk,ncfic,J ROWLING,09/14/2007 03:43:00 PM
1886970,0010051806460,jcbk,ccfic,J ROWLING,05/11/2007 04:43:00 PM
2277368,0010051163474,jcbk,ncfic,J ROWLING2005,02/22/2007 04:22:00 PM
1965109,0010051380326,jcbk,ncfic,J ROWLING,09/06/2007 05:43:00 PM
1842723,0010047883730,jcbk,ncfic,J ROWLING,05/01/2007 03:46:00 PM
2410427,0010056947541,jcbk,ncfic,J ROWLING,09/27/2007 05:38:00 PM
2410427,0010058790295,jcbk,ncfic,J ROWLING,08/08/2007 06:16:00 PM
1886970,0010041223305,jcbk,ncfic,J ROWLING,07/03/2007 04:15:00 PM
2410427,0010057942673,jcbk,ncnew,J ROWLING,12/04/2007 04:05:00 PM
2304178,0010054255756,jcbk,nclp,J ROWLING,08/10/2007 04:49:00 PM
2410427,0010057942590,jcbk,ncfic,J ROWLING,12/14/2007 05:05:00 PM
1894708,0010047571657,jcbk,ncfic,J ROWLING,06/28/2007 06:29:00 PM
2410427,0010057942400,jcbk,ncfic,J ROWLING,11/25/2007 04:34:00 PM
2027533,0010039702989,jcbk,ncfic,J ROWLING,12/19/2007 05:23:00 PM
2410427,0010056947632,jcbk,ncfic,J ROWLING,12/05/2007 01:11:00 PM
1894708,0010047571806,jcbk,ccfic,J ROWLING,05/08/2007 05:48:00 PM
1965109,0010051807195,jcbk,ncfic,J ROWLING,06/16/2007 11:23:00 AM
2176667,0010057358912,jcbk,ncfic,J ROWLING,10/04/2007 02:30:00 PM
2410427,0010057262833,jcbk,ncfic,J ROWLING,10/22/2007 10:24:00 AM
2176667,0010046005665,jcbk,ncfic,J ROWLING,03/07/2007 01:53:00 PM
2176667,0010058690339,jcbk,ncfic,J ROWLING,06/21/2007 04:19:00 PM
2410427,0010056947780,jcbk,ccfic,J ROWLING,09/16/2007 03:01:00 PM
1886970,0010041223305,jcbk,ncfic,J ROWLING,04/29/2007 03:46:00 PM
1842723,0010058081224,jcbk,ccfic,J ROWLING,04/24/2007 02:45:00 PM
1965109,0010051380318,jcbk,ncfic,J ROWLING,09/08/2007 10:08:00 AM
2176667,0010046007745,jcbk,ncfic,J ROWLING,04/12/2007 01:13:00 PM
2410427,0010057942681,jcbk,ncfic,J ROWLING,08/28/2007 06:48:00 PM
2410427,0010057262858,jcbk,ncfic,J ROWLING,09/24/2007 04:39:00 PM
2304178,0010054136865,jcbk,nclp,J ROWLING,09/19/2007 05:44:00 PM
2277368,0010051165826,jcbk,ncfic,J ROWLING2005,04/28/2007 04:17:00 PM
1894708,0010047571715,jcbk,ncfic,J ROWLING,05/15/2007 04:23:00 PM
1886970,0010048376817,jcbk,ncfic,J ROWLING,12/04/2007 02:45:00 PM
2277368,0010051164365,jcbk,ncfic,J ROWLING2005,11/26/2007 04:55:00 PM
1842723,0010057359548,jcbk,ncfic,J ROWLING,12/12/2007 12:53:00 PM
